experiment_type,conditions,results,gene_id,publication_id
ATAC-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 6.8, ""time"": ""47h""}","{""measurement"": 12.75, ""p_value"": 0.0383, ""fold_change"": -3.95}",917,435
RNA-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 7.3, ""time"": ""31h""}","{""measurement"": 93.59, ""p_value"": 0.0415, ""fold_change"": 0.54}",836,126
Metabolomics,"{""temperature"": ""35\u00b0C"", ""ph"": 7.1, ""time"": ""15h""}","{""measurement"": 55.02, ""p_value"": 0.0231, ""fold_change"": -0.09}",423,190
WES,"{""temperature"": ""23\u00b0C"", ""ph"": 7.5, ""time"": ""39h""}","{""measurement"": 38.75, ""p_value"": 0.0409, ""fold_change"": -1.27}",396,368
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 8.0, ""time"": ""34h""}","{""measurement"": 37.05, ""p_value"": 0.0031, ""fold_change"": -2.15}",488,96
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.0, ""time"": ""7h""}","{""measurement"": 10.4, ""p_value"": 0.006, ""fold_change"": -4.48}",771,224
Proteomics,"{""temperature"": ""33\u00b0C"", ""ph"": 7.9, ""time"": ""35h""}","{""measurement"": 86.18, ""p_value"": 0.0016, ""fold_change"": 1.56}",189,206
ChIP-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.7, ""time"": ""16h""}","{""measurement"": 9.82, ""p_value"": 0.0391, ""fold_change"": 1.42}",118,28
ATAC-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 6.7, ""time"": ""7h""}","{""measurement"": 81.93, ""p_value"": 0.0466, ""fold_change"": -4.89}",109,495
Proteomics,"{""temperature"": ""30\u00b0C"", ""ph"": 7.0, ""time"": ""46h""}","{""measurement"": 52.99, ""p_value"": 0.0369, ""fold_change"": -2.79}",565,379
ChIP-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.7, ""time"": ""44h""}","{""measurement"": 53.52, ""p_value"": 0.0168, ""fold_change"": -4.71}",668,320
ChIP-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.6, ""time"": ""47h""}","{""measurement"": 15.49, ""p_value"": 0.0316, ""fold_change"": 2.58}",49,18
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 6.9, ""time"": ""22h""}","{""measurement"": 71.87, ""p_value"": 0.0128, ""fold_change"": 4.97}",473,156
WES,"{""temperature"": ""24\u00b0C"", ""ph"": 7.7, ""time"": ""23h""}","{""measurement"": 67.68, ""p_value"": 0.0129, ""fold_change"": -0.99}",868,489
Microarray,"{""temperature"": ""24\u00b0C"", ""ph"": 7.7, ""time"": ""47h""}","{""measurement"": 48.73, ""p_value"": 0.0072, ""fold_change"": 1.37}",712,136
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 7.5, ""time"": ""16h""}","{""measurement"": 13.88, ""p_value"": 0.0218, ""fold_change"": 3.97}",455,129
Metabolomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.3, ""time"": ""11h""}","{""measurement"": 82.03, ""p_value"": 0.0253, ""fold_change"": -3.25}",576,309
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 8.0, ""time"": ""39h""}","{""measurement"": 92.09, ""p_value"": 0.0187, ""fold_change"": -1.37}",309,310
Metabolomics,"{""temperature"": ""25\u00b0C"", ""ph"": 7.6, ""time"": ""47h""}","{""measurement"": 79.91, ""p_value"": 0.0112, ""fold_change"": 3.73}",548,112
Microarray,"{""temperature"": ""22\u00b0C"", ""ph"": 6.8, ""time"": ""26h""}","{""measurement"": 93.1, ""p_value"": 0.0136, ""fold_change"": 4.83}",987,183
Proteomics,"{""temperature"": ""28\u00b0C"", ""ph"": 6.9, ""time"": ""42h""}","{""measurement"": 49.01, ""p_value"": 0.0112, ""fold_change"": -0.54}",750,467
RNA-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.6, ""time"": ""21h""}","{""measurement"": 5.5, ""p_value"": 0.0122, ""fold_change"": 1.3}",531,312
ATAC-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.4, ""time"": ""26h""}","{""measurement"": 59.07, ""p_value"": 0.026, ""fold_change"": 4.54}",415,260
RNA-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.8, ""time"": ""24h""}","{""measurement"": 73.68, ""p_value"": 0.0001, ""fold_change"": 2.48}",798,321
Microarray,"{""temperature"": ""21\u00b0C"", ""ph"": 6.7, ""time"": ""35h""}","{""measurement"": 0.17, ""p_value"": 0.0157, ""fold_change"": -0.92}",216,272
ATAC-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.3, ""time"": ""18h""}","{""measurement"": 64.96, ""p_value"": 0.0406, ""fold_change"": -3.39}",71,493
RNA-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.0, ""time"": ""21h""}","{""measurement"": 60.08, ""p_value"": 0.0433, ""fold_change"": 1.03}",748,295
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 8.0, ""time"": ""12h""}","{""measurement"": 0.8, ""p_value"": 0.0425, ""fold_change"": 1.79}",186,133
ATAC-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.1, ""time"": ""33h""}","{""measurement"": 78.2, ""p_value"": 0.037, ""fold_change"": 4.37}",243,417
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 7.2, ""time"": ""35h""}","{""measurement"": 48.0, ""p_value"": 0.0384, ""fold_change"": -0.86}",495,266
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.8, ""time"": ""19h""}","{""measurement"": 17.3, ""p_value"": 0.0493, ""fold_change"": 2.58}",230,202
ATAC-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.5, ""time"": ""35h""}","{""measurement"": 20.82, ""p_value"": 0.0081, ""fold_change"": 4.77}",450,264
Microarray,"{""temperature"": ""33\u00b0C"", ""ph"": 6.5, ""time"": ""15h""}","{""measurement"": 75.97, ""p_value"": 0.0344, ""fold_change"": 0.37}",620,51
Proteomics,"{""temperature"": ""36\u00b0C"", ""ph"": 6.3, ""time"": ""18h""}","{""measurement"": 0.14, ""p_value"": 0.0258, ""fold_change"": 2.76}",199,35
ChIP-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 6.6, ""time"": ""14h""}","{""measurement"": 20.45, ""p_value"": 0.0212, ""fold_change"": 3.77}",210,228
ATAC-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.9, ""time"": ""8h""}","{""measurement"": 13.73, ""p_value"": 0.0457, ""fold_change"": -2.97}",851,151
WGS,"{""temperature"": ""33\u00b0C"", ""ph"": 6.6, ""time"": ""16h""}","{""measurement"": 76.96, ""p_value"": 0.0074, ""fold_change"": 1.6}",85,138
WGS,"{""temperature"": ""26\u00b0C"", ""ph"": 6.1, ""time"": ""4h""}","{""measurement"": 55.95, ""p_value"": 0.0338, ""fold_change"": 3.49}",510,105
ChIP-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.0, ""time"": ""9h""}","{""measurement"": 48.04, ""p_value"": 0.0219, ""fold_change"": -0.71}",643,458
ATAC-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 7.6, ""time"": ""22h""}","{""measurement"": 56.59, ""p_value"": 0.0449, ""fold_change"": 3.11}",874,301
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 7.2, ""time"": ""26h""}","{""measurement"": 83.29, ""p_value"": 0.0063, ""fold_change"": 0.13}",748,468
WGS,"{""temperature"": ""34\u00b0C"", ""ph"": 7.3, ""time"": ""4h""}","{""measurement"": 80.73, ""p_value"": 0.006, ""fold_change"": 0.0}",705,82
WGS,"{""temperature"": ""32\u00b0C"", ""ph"": 7.4, ""time"": ""40h""}","{""measurement"": 41.88, ""p_value"": 0.0029, ""fold_change"": 2.83}",368,243
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 7.5, ""time"": ""33h""}","{""measurement"": 47.24, ""p_value"": 0.0009, ""fold_change"": 0.99}",165,15
WGS,"{""temperature"": ""29\u00b0C"", ""ph"": 6.1, ""time"": ""38h""}","{""measurement"": 30.48, ""p_value"": 0.0349, ""fold_change"": 1.86}",702,293
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.3, ""time"": ""16h""}","{""measurement"": 28.75, ""p_value"": 0.0248, ""fold_change"": 1.58}",122,195
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 7.8, ""time"": ""28h""}","{""measurement"": 68.46, ""p_value"": 0.0259, ""fold_change"": 1.25}",374,469
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 6.8, ""time"": ""30h""}","{""measurement"": 55.96, ""p_value"": 0.0206, ""fold_change"": 0.29}",822,458
WES,"{""temperature"": ""21\u00b0C"", ""ph"": 7.5, ""time"": ""5h""}","{""measurement"": 56.49, ""p_value"": 0.0064, ""fold_change"": 2.8}",365,178
Proteomics,"{""temperature"": ""31\u00b0C"", ""ph"": 6.5, ""time"": ""17h""}","{""measurement"": 28.65, ""p_value"": 0.0422, ""fold_change"": -4.48}",193,400
Metabolomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.9, ""time"": ""19h""}","{""measurement"": 31.55, ""p_value"": 0.0067, ""fold_change"": -3.01}",408,461
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 7.0, ""time"": ""36h""}","{""measurement"": 8.54, ""p_value"": 0.0168, ""fold_change"": -2.67}",949,69
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.4, ""time"": ""35h""}","{""measurement"": 37.92, ""p_value"": 0.0037, ""fold_change"": 3.66}",76,181
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 6.5, ""time"": ""41h""}","{""measurement"": 45.57, ""p_value"": 0.045, ""fold_change"": 2.48}",215,123
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 6.1, ""time"": ""10h""}","{""measurement"": 23.31, ""p_value"": 0.0204, ""fold_change"": 1.9}",565,404
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 6.7, ""time"": ""6h""}","{""measurement"": 68.29, ""p_value"": 0.0091, ""fold_change"": -0.7}",325,410
ATAC-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 6.6, ""time"": ""2h""}","{""measurement"": 62.64, ""p_value"": 0.0398, ""fold_change"": 1.04}",426,351
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.2, ""time"": ""17h""}","{""measurement"": 80.53, ""p_value"": 0.0108, ""fold_change"": -2.48}",955,50
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 6.1, ""time"": ""19h""}","{""measurement"": 14.68, ""p_value"": 0.0034, ""fold_change"": 1.67}",909,133
Metabolomics,"{""temperature"": ""32\u00b0C"", ""ph"": 6.2, ""time"": ""2h""}","{""measurement"": 20.42, ""p_value"": 0.0435, ""fold_change"": -0.8}",15,18
WGS,"{""temperature"": ""36\u00b0C"", ""ph"": 6.0, ""time"": ""1h""}","{""measurement"": 71.26, ""p_value"": 0.0005, ""fold_change"": 3.88}",238,225
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 7.5, ""time"": ""43h""}","{""measurement"": 86.75, ""p_value"": 0.0014, ""fold_change"": -2.56}",167,422
WES,"{""temperature"": ""29\u00b0C"", ""ph"": 6.2, ""time"": ""14h""}","{""measurement"": 87.12, ""p_value"": 0.0407, ""fold_change"": 2.88}",10,396
ChIP-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.9, ""time"": ""27h""}","{""measurement"": 47.03, ""p_value"": 0.0029, ""fold_change"": -4.15}",784,328
ChIP-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 6.0, ""time"": ""12h""}","{""measurement"": 81.61, ""p_value"": 0.0396, ""fold_change"": -2.07}",535,482
Metabolomics,"{""temperature"": ""33\u00b0C"", ""ph"": 6.4, ""time"": ""45h""}","{""measurement"": 26.46, ""p_value"": 0.002, ""fold_change"": 4.21}",671,214
WGS,"{""temperature"": ""34\u00b0C"", ""ph"": 6.2, ""time"": ""5h""}","{""measurement"": 77.04, ""p_value"": 0.0168, ""fold_change"": -3.22}",566,328
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 6.5, ""time"": ""40h""}","{""measurement"": 97.59, ""p_value"": 0.0119, ""fold_change"": 0.83}",425,134
Proteomics,"{""temperature"": ""27\u00b0C"", ""ph"": 6.6, ""time"": ""10h""}","{""measurement"": 43.27, ""p_value"": 0.0234, ""fold_change"": 3.75}",265,345
Microarray,"{""temperature"": ""27\u00b0C"", ""ph"": 7.1, ""time"": ""37h""}","{""measurement"": 27.59, ""p_value"": 0.0241, ""fold_change"": -0.97}",993,348
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 7.7, ""time"": ""14h""}","{""measurement"": 65.96, ""p_value"": 0.0006, ""fold_change"": -1.55}",246,404
WES,"{""temperature"": ""20\u00b0C"", ""ph"": 6.5, ""time"": ""28h""}","{""measurement"": 64.36, ""p_value"": 0.0065, ""fold_change"": -2.96}",239,77
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.7, ""time"": ""48h""}","{""measurement"": 44.97, ""p_value"": 0.0261, ""fold_change"": -4.12}",235,366
Microarray,"{""temperature"": ""25\u00b0C"", ""ph"": 6.6, ""time"": ""21h""}","{""measurement"": 24.25, ""p_value"": 0.0129, ""fold_change"": -0.94}",881,337
ATAC-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 6.1, ""time"": ""6h""}","{""measurement"": 23.23, ""p_value"": 0.0498, ""fold_change"": -4.19}",772,350
Microarray,"{""temperature"": ""25\u00b0C"", ""ph"": 6.2, ""time"": ""7h""}","{""measurement"": 13.92, ""p_value"": 0.0463, ""fold_change"": -4.49}",275,97
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 7.2, ""time"": ""10h""}","{""measurement"": 4.94, ""p_value"": 0.0287, ""fold_change"": -4.06}",739,416
WES,"{""temperature"": ""21\u00b0C"", ""ph"": 7.8, ""time"": ""14h""}","{""measurement"": 14.11, ""p_value"": 0.0376, ""fold_change"": -2.4}",893,457
Microarray,"{""temperature"": ""35\u00b0C"", ""ph"": 7.1, ""time"": ""30h""}","{""measurement"": 11.82, ""p_value"": 0.0336, ""fold_change"": -3.59}",814,161
WGS,"{""temperature"": ""22\u00b0C"", ""ph"": 7.7, ""time"": ""30h""}","{""measurement"": 17.15, ""p_value"": 0.0324, ""fold_change"": 4.22}",303,196
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 7.0, ""time"": ""20h""}","{""measurement"": 6.34, ""p_value"": 0.0114, ""fold_change"": 1.32}",656,407
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 7.3, ""time"": ""38h""}","{""measurement"": 98.24, ""p_value"": 0.0436, ""fold_change"": 4.34}",252,404
ATAC-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.5, ""time"": ""37h""}","{""measurement"": 21.97, ""p_value"": 0.0461, ""fold_change"": -2.9}",342,306
ATAC-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 6.1, ""time"": ""19h""}","{""measurement"": 61.53, ""p_value"": 0.04, ""fold_change"": 0.76}",974,326
RNA-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 6.3, ""time"": ""10h""}","{""measurement"": 94.0, ""p_value"": 0.0166, ""fold_change"": 4.66}",512,331
Microarray,"{""temperature"": ""37\u00b0C"", ""ph"": 6.4, ""time"": ""2h""}","{""measurement"": 45.29, ""p_value"": 0.0106, ""fold_change"": 1.36}",755,352
Proteomics,"{""temperature"": ""21\u00b0C"", ""ph"": 7.1, ""time"": ""26h""}","{""measurement"": 15.22, ""p_value"": 0.0291, ""fold_change"": 4.06}",827,333
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 6.1, ""time"": ""24h""}","{""measurement"": 98.16, ""p_value"": 0.0033, ""fold_change"": 2.59}",586,458
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.5, ""time"": ""45h""}","{""measurement"": 61.07, ""p_value"": 0.0019, ""fold_change"": -0.23}",300,343
RNA-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.4, ""time"": ""17h""}","{""measurement"": 40.9, ""p_value"": 0.0392, ""fold_change"": 1.1}",13,272
WES,"{""temperature"": ""31\u00b0C"", ""ph"": 7.7, ""time"": ""26h""}","{""measurement"": 62.06, ""p_value"": 0.0261, ""fold_change"": -3.09}",804,109
ChIP-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.4, ""time"": ""4h""}","{""measurement"": 7.51, ""p_value"": 0.0103, ""fold_change"": 2.69}",577,94
WGS,"{""temperature"": ""36\u00b0C"", ""ph"": 6.3, ""time"": ""7h""}","{""measurement"": 41.96, ""p_value"": 0.0476, ""fold_change"": -4.12}",640,135
WES,"{""temperature"": ""37\u00b0C"", ""ph"": 6.7, ""time"": ""11h""}","{""measurement"": 72.62, ""p_value"": 0.0013, ""fold_change"": 4.13}",516,81
ChIP-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 8.0, ""time"": ""21h""}","{""measurement"": 88.51, ""p_value"": 0.038, ""fold_change"": 4.31}",573,377
RNA-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.5, ""time"": ""47h""}","{""measurement"": 76.38, ""p_value"": 0.0432, ""fold_change"": 4.69}",97,19
WGS,"{""temperature"": ""34\u00b0C"", ""ph"": 6.6, ""time"": ""40h""}","{""measurement"": 29.5, ""p_value"": 0.0334, ""fold_change"": 2.19}",26,460
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 6.0, ""time"": ""44h""}","{""measurement"": 52.97, ""p_value"": 0.0496, ""fold_change"": 4.74}",439,84
Proteomics,"{""temperature"": ""34\u00b0C"", ""ph"": 7.5, ""time"": ""8h""}","{""measurement"": 75.62, ""p_value"": 0.0117, ""fold_change"": 1.15}",307,335
ChIP-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 7.2, ""time"": ""35h""}","{""measurement"": 60.71, ""p_value"": 0.0084, ""fold_change"": -1.49}",172,286
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 6.0, ""time"": ""9h""}","{""measurement"": 26.89, ""p_value"": 0.0031, ""fold_change"": 3.2}",458,200
ChIP-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.3, ""time"": ""41h""}","{""measurement"": 51.05, ""p_value"": 0.0173, ""fold_change"": 0.98}",78,178
ChIP-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.6, ""time"": ""48h""}","{""measurement"": 34.77, ""p_value"": 0.0167, ""fold_change"": 0.68}",56,330
ATAC-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 6.8, ""time"": ""15h""}","{""measurement"": 18.48, ""p_value"": 0.0105, ""fold_change"": 4.78}",744,188
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 6.9, ""time"": ""13h""}","{""measurement"": 9.87, ""p_value"": 0.0466, ""fold_change"": -0.33}",818,234
ChIP-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.7, ""time"": ""22h""}","{""measurement"": 14.31, ""p_value"": 0.0389, ""fold_change"": 0.04}",620,179
ATAC-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 7.8, ""time"": ""2h""}","{""measurement"": 23.13, ""p_value"": 0.0231, ""fold_change"": 3.14}",613,242
WGS,"{""temperature"": ""30\u00b0C"", ""ph"": 6.2, ""time"": ""6h""}","{""measurement"": 29.04, ""p_value"": 0.0176, ""fold_change"": -0.52}",859,111
Proteomics,"{""temperature"": ""28\u00b0C"", ""ph"": 6.8, ""time"": ""8h""}","{""measurement"": 38.59, ""p_value"": 0.0261, ""fold_change"": -0.43}",576,34
WES,"{""temperature"": ""26\u00b0C"", ""ph"": 7.3, ""time"": ""7h""}","{""measurement"": 92.44, ""p_value"": 0.035, ""fold_change"": 3.98}",243,327
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 7.3, ""time"": ""40h""}","{""measurement"": 27.55, ""p_value"": 0.0127, ""fold_change"": -1.01}",831,53
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.8, ""time"": ""48h""}","{""measurement"": 60.2, ""p_value"": 0.0467, ""fold_change"": 1.65}",29,328
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.2, ""time"": ""17h""}","{""measurement"": 92.61, ""p_value"": 0.0151, ""fold_change"": 1.04}",883,268
WGS,"{""temperature"": ""31\u00b0C"", ""ph"": 7.2, ""time"": ""18h""}","{""measurement"": 88.18, ""p_value"": 0.0396, ""fold_change"": -0.47}",5,161
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 7.2, ""time"": ""17h""}","{""measurement"": 72.79, ""p_value"": 0.0194, ""fold_change"": -1.71}",833,245
Metabolomics,"{""temperature"": ""30\u00b0C"", ""ph"": 7.2, ""time"": ""23h""}","{""measurement"": 84.72, ""p_value"": 0.0471, ""fold_change"": -3.58}",33,413
Proteomics,"{""temperature"": ""23\u00b0C"", ""ph"": 6.7, ""time"": ""7h""}","{""measurement"": 7.36, ""p_value"": 0.0494, ""fold_change"": -2.69}",112,337
ATAC-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.3, ""time"": ""25h""}","{""measurement"": 84.02, ""p_value"": 0.0125, ""fold_change"": -0.95}",423,162
Metabolomics,"{""temperature"": ""31\u00b0C"", ""ph"": 6.4, ""time"": ""17h""}","{""measurement"": 8.83, ""p_value"": 0.01, ""fold_change"": 3.2}",711,437
RNA-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.8, ""time"": ""35h""}","{""measurement"": 15.01, ""p_value"": 0.0029, ""fold_change"": -4.93}",924,202
WES,"{""temperature"": ""32\u00b0C"", ""ph"": 6.9, ""time"": ""29h""}","{""measurement"": 7.17, ""p_value"": 0.034, ""fold_change"": -2.91}",511,410
Metabolomics,"{""temperature"": ""34\u00b0C"", ""ph"": 6.7, ""time"": ""7h""}","{""measurement"": 84.96, ""p_value"": 0.0225, ""fold_change"": -2.89}",726,344
ChIP-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 6.3, ""time"": ""3h""}","{""measurement"": 30.49, ""p_value"": 0.0477, ""fold_change"": -4.79}",142,263
Proteomics,"{""temperature"": ""23\u00b0C"", ""ph"": 7.2, ""time"": ""47h""}","{""measurement"": 83.8, ""p_value"": 0.0188, ""fold_change"": -3.63}",344,238
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 6.2, ""time"": ""13h""}","{""measurement"": 22.86, ""p_value"": 0.0247, ""fold_change"": 1.81}",948,151
RNA-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.3, ""time"": ""2h""}","{""measurement"": 95.34, ""p_value"": 0.0032, ""fold_change"": -1.85}",456,173
ChIP-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.9, ""time"": ""21h""}","{""measurement"": 37.94, ""p_value"": 0.0288, ""fold_change"": 0.3}",362,226
Microarray,"{""temperature"": ""35\u00b0C"", ""ph"": 6.3, ""time"": ""9h""}","{""measurement"": 34.82, ""p_value"": 0.0292, ""fold_change"": -3.52}",554,115
Proteomics,"{""temperature"": ""32\u00b0C"", ""ph"": 6.6, ""time"": ""30h""}","{""measurement"": 53.9, ""p_value"": 0.043, ""fold_change"": -4.28}",550,53
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.0, ""time"": ""23h""}","{""measurement"": 31.7, ""p_value"": 0.0129, ""fold_change"": -4.34}",687,347
Metabolomics,"{""temperature"": ""28\u00b0C"", ""ph"": 6.5, ""time"": ""3h""}","{""measurement"": 23.51, ""p_value"": 0.0009, ""fold_change"": -2.94}",456,238
ATAC-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 6.5, ""time"": ""35h""}","{""measurement"": 45.43, ""p_value"": 0.0115, ""fold_change"": 3.53}",692,423
ChIP-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.3, ""time"": ""46h""}","{""measurement"": 15.97, ""p_value"": 0.0166, ""fold_change"": -3.52}",10,451
ChIP-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.5, ""time"": ""20h""}","{""measurement"": 49.42, ""p_value"": 0.0238, ""fold_change"": -4.88}",340,419
ATAC-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 6.7, ""time"": ""8h""}","{""measurement"": 36.44, ""p_value"": 0.0245, ""fold_change"": -0.97}",281,81
Proteomics,"{""temperature"": ""31\u00b0C"", ""ph"": 6.4, ""time"": ""15h""}","{""measurement"": 34.28, ""p_value"": 0.0387, ""fold_change"": 4.07}",934,22
Metabolomics,"{""temperature"": ""28\u00b0C"", ""ph"": 6.1, ""time"": ""24h""}","{""measurement"": 25.41, ""p_value"": 0.032, ""fold_change"": -4.31}",264,480
Microarray,"{""temperature"": ""31\u00b0C"", ""ph"": 7.9, ""time"": ""34h""}","{""measurement"": 88.12, ""p_value"": 0.0427, ""fold_change"": 3.11}",675,407
ChIP-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.9, ""time"": ""38h""}","{""measurement"": 26.56, ""p_value"": 0.034, ""fold_change"": -2.54}",780,181
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 6.8, ""time"": ""36h""}","{""measurement"": 51.18, ""p_value"": 0.0296, ""fold_change"": -0.84}",374,274
RNA-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.5, ""time"": ""28h""}","{""measurement"": 52.48, ""p_value"": 0.0304, ""fold_change"": -2.38}",141,243
RNA-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.2, ""time"": ""1h""}","{""measurement"": 54.29, ""p_value"": 0.0329, ""fold_change"": -3.62}",744,383
ATAC-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.7, ""time"": ""21h""}","{""measurement"": 65.66, ""p_value"": 0.0054, ""fold_change"": -1.94}",649,311
WES,"{""temperature"": ""28\u00b0C"", ""ph"": 6.9, ""time"": ""42h""}","{""measurement"": 32.85, ""p_value"": 0.0481, ""fold_change"": 3.55}",202,480
Metabolomics,"{""temperature"": ""34\u00b0C"", ""ph"": 7.0, ""time"": ""46h""}","{""measurement"": 49.92, ""p_value"": 0.0007, ""fold_change"": -1.95}",735,391
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.7, ""time"": ""2h""}","{""measurement"": 30.1, ""p_value"": 0.0114, ""fold_change"": -2.92}",447,297
WGS,"{""temperature"": ""36\u00b0C"", ""ph"": 6.3, ""time"": ""19h""}","{""measurement"": 48.76, ""p_value"": 0.0392, ""fold_change"": -0.38}",288,260
Microarray,"{""temperature"": ""25\u00b0C"", ""ph"": 7.1, ""time"": ""22h""}","{""measurement"": 32.64, ""p_value"": 0.0306, ""fold_change"": 0.75}",890,484
Metabolomics,"{""temperature"": ""29\u00b0C"", ""ph"": 7.6, ""time"": ""38h""}","{""measurement"": 23.42, ""p_value"": 0.0115, ""fold_change"": -4.24}",449,68
WGS,"{""temperature"": ""37\u00b0C"", ""ph"": 7.3, ""time"": ""11h""}","{""measurement"": 5.82, ""p_value"": 0.0101, ""fold_change"": -2.23}",765,25
ChIP-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.7, ""time"": ""34h""}","{""measurement"": 54.19, ""p_value"": 0.0032, ""fold_change"": -1.92}",196,366
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 6.9, ""time"": ""14h""}","{""measurement"": 84.79, ""p_value"": 0.0325, ""fold_change"": -4.47}",324,267
